name,id,designation,tech/manufacturer,system id,fleet pts,hitpoints,armor rating,max flux,8/6/5/4%,flux dissipation,ordnance points,fighter bays,max speed,acceleration,deceleration,max turn rate,turn acceleration,mass,shield type,defense id,shield arc,shield upkeep,shield efficiency,phase cost,phase upkeep,min crew,max crew,cargo,fuel,fuel/ly,range,max burn,base value,cr %/day,CR to deploy,peak CR sec,CR loss/sec,supplies/rec,supplies/mo,hints,tags,rarity,breakProb,minPieces,maxPieces,number
Mole,vanidad_fighter1,,VAO,flarelauncher_fighter,,750,100,80,,10,0,,200,400,350,90,180,30,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,vanidad_bp,,0,,,104
Lenador,vanidad_lenador,,VAO,flarelauncher_fighter,,1200,250,300,,100,0,,180,300,275,80,170,50,NONE,,0,0,0,,,1,1,,,,,,,,,,,,,,vanidad_bp,,0,,,302
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viajero Estellar,vanidad_viajero,Stellar voyager,VAO,targetingfeed,20,6000,750,5000,6000,300,100,3,80,60,40,20,25,800,OMNI,,180,0.5,0.8,,,150,250,90,60,3,20,8,120000,3,12,360,0.25,20,20,CARRIER,vanidad_bp,,0.5,2,3,407
Cazador,vanidad_cazador,Frigate,VAO,highenergyfocus,8,1250,200,2500,2813,225,50,,180,200,175,90,270,200,OMNI,,120,0.2,0.8,,,15,25,30,20,1,20,11,36000,10,20,180,0.25,8,8,,vanidad_bp,0.75,0.5,2,2,206
Granfrio,vanidad_granfrio,Explorer,VAO,flarelauncher_active,16,9000,750,12000,14000,700,140,1,80,50,40,20,25,2000,FRONT,,360,"0,6","0,7",,,150,450,400,200,2,100,8,140000,3,15,420,"0,25",16,16,,vanidad_bp,,"0,6",2,4,403
Ionizador,vanidad_ionizador,Destroyer,VAO,highenergyfocus,12,4000,250,7500,8333,500,115,,85,80,60,30,30,350,FRONT,,300,0.4,1,,,50,70,80,50,2,25,9,45000,5,15,300,0.25,12,12,,vanidad_bp,,0.5,2,3,301
Almadena,vanidad_almadena,Cruiser,VAO,plasmajets,17,8000,900,11000,16000,700,175,,60,50,25,25,25,1800,OMNI,,180,0.4,0.85,,,75,200,150,90,3,30,8,200000,4,20,420,0.25,30,30,,vanidad_bp,,0.5,2,3,307
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
